location,murder,rape,gangrape,robbery,theft,assault_murders,sexual_harassment,total_area,total_crime,longitude,latitude,crime/area,area
Sector-117,8,19,2,50,144,50,18,2539981.15,291,106.1610343,-6.3384977,114.5677793711,2.53998115
Sector-118,2,25,2,35,731,10,30,1522832.705,835,128.46821,37.18447,548.3202437526,1.522832705
Sector-118,9,7,4,19,494,9,14,1964212.104,556,14.4937714,59.3138173,283.0651531307,1.964212104
Sector-119,4,30,1,74,292,1,14,2060848.57,416,112.45297,41.28102,201.8585965295,2.06084857
Sector-12,0,14,9,70,307,38,22,3480564.561,460,106.53519,29.72277,132.1624673061,3.480564561
Sector-120,2,7,6,38,801,25,3,5493785.476,882,-15.9839424,13.5468199,160.5450383625,5.493785476
Sector-121,3,16,8,43,461,31,24,7820768.409,586,108.533377,32.519246,74.9286987357,7.820768409
Sector-121,10,27,3,75,593,33,6,5692502.941,747,113.2516686,22.8311155,131.2252286459,5.692502941
Sector-122,4,10,3,77,662,41,21,6608387.986,818,27.6546469,48.1665542,123.7820784332,6.608387986
Sector-123,10,29,4,31,481,36,17,6632393.479,608,42.8253662,33.6435199,91.6712800477,6.632393479
Sector-124,8,9,7,24,539,46,27,7805158.224,660,-65.1737343,-24.2298687,84.5594645309,7.805158224
Sector-125,4,17,7,60,319,9,10,3792709.153,426,-9.3277081,38.80549,112.3207667171,3.792709153
Sector-126,10,9,7,42,892,37,17,5208864.179,1014,110.1209019,-7.3677628,194.6681589603,5.208864179
Sector-127,3,9,7,11,143,14,26,5116196.786,213,-35.897056,-9.710143,41.6324877461,5.116196786
Sector-128,4,30,10,48,133,48,14,7662391.43,287,64.1828536,53.8031587,37.4556693719,7.66239143
Sector-128,0,9,10,47,105,32,8,6372060.303,211,6.8915145,52.7843212,33.1133087207,6.372060303
Sector-129,4,14,9,58,695,18,5,7396324.957,803,115.5672264,-8.5083726,108.5674310781,7.396324957
Sector-129,9,19,6,8,884,20,23,6395505.981,969,-9.264704,39.2363803,151.5126407322,6.395505981
Sector-130,5,12,1,20,868,30,11,3358779.89,947,-80.2056382,25.7564471,281.9476211643,3.35877989
Sector-131,1,26,7,18,603,10,13,5518745.413,678,114.720925,30.352134,122.8540092469,5.518745413
Sector-132,2,2,7,70,372,48,19,7423431.341,520,118.8,1.05,70.048468978,7.423431341
Sector-133,7,14,4,44,137,25,27,3193039.943,258,26.8277488,62.6243044,80.8007430554,3.193039943
Sector-133,7,21,7,65,237,10,12,2224722.988,359,16.7076821,51.2701042,161.3684049369,2.224722988
Sector-134,2,21,1,72,755,23,9,4503399.873,883,34.4212109,0.6812449,196.0740828932,4.503399873
Sector-134,8,17,10,55,791,20,12,3873064.856,913,6.893632,52.2254703,235.7306252142,3.873064856
Sector-135,3,30,8,11,256,29,22,5045758.166,359,19.8982345,51.6113555,71.1488716243,5.045758166
Sector-135,9,11,1,46,853,44,3,1709275.669,967,141.6136391,38.8777496,565.7367138244,1.709275669
Sector-136,0,9,10,47,889,34,19,3697756.34,1008,34.3210714,53.2077345,272.597734225,3.69775634
Sector-137,3,17,8,44,837,32,18,2204700.729,959,-7.9700042,40.4501529,434.9796720188,2.204700729
Sector-137,0,7,10,9,399,54,20,5517317.645,499,25.4459308,36.3573462,90.4424997992,5.517317645
Sector-138,5,20,10,13,239,59,5,1626392.632,351,-75.687434,4.392095,215.8150455763,1.626392632
Sector-14,10,25,5,10,861,30,9,3908250.504,950,16.2869539,56.6739933,243.0755139743,3.908250504
Sector-14 A,5,13,5,3,829,42,10,2163913.715,907,-91.71667,15.08333,419.1479511003,2.163913715
Sector-140,7,16,7,47,505,54,12,4196163.788,648,112.4500076,-6.9176355,154.4267651928,4.196163788
Sector-140 A,4,22,6,53,764,10,13,6573018.221,872,115.4841713,38.8665109,132.6635604347,6.573018221
Sector-141,10,17,5,60,124,44,17,1851378.192,277,106.3228338,-2.4944583,149.6182688102,1.851378192
Sector-142,3,4,10,48,536,7,28,6487452.747,636,22.4649083,13.447898,98.0353961413,6.487452747
Sector-142,10,16,7,73,140,12,13,5891723.436,271,-58.5404623,-34.6761,45.9967279428,5.891723436
Sector-143,0,4,5,38,487,46,17,3973425.249,597,62.8101616,61.2067486,150.24820214,3.973425249
Sector-143,10,30,3,46,111,28,20,7170454.045,248,-7.0625888,53.1387595,34.5863732539,7.170454045
Sector-143 A,5,19,1,16,810,12,27,4717718.011,890,124.670305,46.465362,188.650529329,4.717718011
Sector-143 B,8,11,6,10,731,15,18,5063619.291,799,16.9139651,43.4088284,157.7922734871,5.063619291
Sector-144,6,19,4,70,337,37,19,2614850.594,492,10.7673005,59.9050895,188.1560656387,2.614850594
Sector-145,8,3,1,60,601,27,5,6149284.14,705,39.4789854,50.9427305,114.6474913095,6.14928414
Sector-146,0,19,9,51,379,36,21,3250108.055,515,114.2152731,-7.8880228,158.4562701562,3.250108055
Sector-147,5,15,8,62,229,47,9,6197766.403,375,-76.6658165,-11.9019296,60.5056685935,6.197766403
Sector-148,3,4,8,29,125,26,26,6747416.725,221,15.0266516,50.7911439,32.753275662,6.747416725
Sector-149,5,22,3,29,840,4,22,4915219.169,925,-63.2238376,-17.566223,188.1909978367,4.915219169
Sector-15,10,14,5,14,489,48,29,4625860.736,609,113.9564,-7.0353,131.6511747231,4.625860736
Sector-15 A,10,8,2,51,517,13,29,6918828.007,630,125.2203419,-8.9837384,91.0558839391,6.918828007
Sector-150,9,25,5,6,706,37,26,4187535.223,814,14.1539,9.7639,194.3864246273,4.187535223
Sector-150,5,14,10,59,721,38,5,5966209.688,852,46.7464755,39.7537438,142.8042332662,5.966209688
Sector-151,4,23,2,77,586,19,27,2951871.635,738,116.299392,28.002198,250.0108714924,2.951871635
Sector-151,8,16,4,23,126,34,27,3409452.125,238,113.140004,40.255866,69.8059369289,3.409452125
Sector-152,7,26,5,62,449,48,22,3342473.199,619,23.179484,61.1035855,185.1922104223,3.342473199
Sector-152,3,1,9,39,258,11,15,7821438.894,336,-3.9725378,6.6746161,42.9588474133,7.821438894
Sector-153,4,10,4,78,285,18,11,3993852.744,410,122.0183229,6.6904032,102.6577658918,3.993852744
Sector-154,8,25,10,16,645,1,26,4994265.185,731,47.0291162,-19.8730077,146.3678785411,4.994265185
Sector-155,0,23,7,12,344,40,14,6139890.428,440,13.2306332,32.8904175,71.6625166458,6.139890428
Sector-156,2,22,6,78,578,34,6,7234931.431,726,-61.486922,-33.453544,100.3464935257,7.234931431
Sector-157,1,11,3,80,837,39,26,5932925.878,997,-46.4617086,-23.668163,168.04524791,5.932925878
Sector-158,1,27,8,9,132,24,20,4366395.839,221,19.6159543,49.909141,50.6138261735,4.366395839
Sector-159,10,13,9,51,764,52,27,5239173.933,926,30.830724,49.2626871,176.7454205266,5.239173933
Sector-16,2,10,5,42,418,35,26,7447929.405,538,20.0032794,40.9314367,72.2348414901,7.447929405
Sector-16 A,7,22,1,35,448,58,22,5876228.757,593,49.6044141,14.7634494,100.9150638143,5.876228757
Sector-16 B,6,10,2,76,138,10,18,4881935.106,260,18.0992378,49.4940668,53.2575698682,4.881935106
Sector-160,6,1,6,26,420,14,9,7413584.384,482,119.6499162,-4.436417,65.0157838684,7.413584384
Sector-161,6,4,4,33,462,5,3,1311867.753,517,118.670339,31.9339724,394.0946020037,1.311867753
Sector-162,5,5,6,25,246,46,14,4127406.56,347,-99.0806088,19.3579802,84.0721637076,4.12740656
Sector-163,8,24,5,19,649,37,1,3492406.488,743,2.257134,48.9467896,212.7472854471,3.492406488
Sector-164,0,20,9,19,468,29,2,3234962.623,547,-67.08204,52.78345,169.0900525746,3.234962623
Sector-165,6,2,9,27,738,36,26,6009387.76,844,121.030802,14.6004472,140.4469196709,6.00938776
Sector-166,2,7,6,62,679,24,16,5160370.083,796,-85.454983,10.142762,154.2525026688,5.160370083
Sector-167,3,9,1,74,734,49,29,6275702.15,899,33.8801952,-24.7057037,143.2509030085,6.27570215
Sector-167 B,5,27,6,19,318,58,4,7724053.325,437,141.2777515,38.5796262,56.5765125657,7.724053325
Sector-168,3,8,9,3,217,57,11,6155585.51,308,-63.6964035,-29.4933611,50.0358575963,6.15558551
Sector-168,2,7,10,10,758,60,6,3193019.006,853,17.2134482,43.4120877,267.1452936538,3.193019006
Sector-17,0,4,4,40,634,60,14,1738660.62,756,17.9778073,59.3687545,434.8174631113,1.73866062
Sector-18,6,7,3,66,723,3,2,5597944.541,810,101.808485,36.608183,144.695967255,5.597944541
Sector-19,0,13,4,25,432,55,22,7658775.189,551,54.0068191,46.9691061,71.9436184511,7.658775189
Sector-2,7,16,6,66,124,33,15,3323452.348,267,-47.5632863,-23.510329,80.3381460127,3.323452348
Sector-20,2,23,5,4,551,58,6,4617783.358,649,-80.365865,7.5909302,140.5436222719,4.617783358
Sector-21,6,24,9,38,692,9,12,1422080.073,790,44.0036677,56.2835999,555.5242739134,1.422080073
Sector-22,5,15,1,6,622,46,9,6941597.953,704,107.136224,10.4113797,101.4175705315,6.941597953
Sector-23,7,27,3,73,645,28,25,5566361.05,808,116.19359,26.751281,145.1576699287,5.56636105
Sector-24,4,29,8,66,391,39,23,1633132.178,560,3.8626074,43.6121586,342.8993730843,1.633132178
Sector-25,9,29,6,7,516,26,10,1178634.583,603,106.761519,21.853708,511.6089487763,1.178634583
Sector-25 A,1,13,10,12,417,46,8,3663936.095,507,-4.191742,33.613239,138.3757759017,3.663936095
Sector-26,3,19,8,47,864,27,10,3242477.433,978,117.005412,38.895126,301.6212202579,3.242477433
Sector-27,5,28,7,61,346,17,20,6225123.876,484,116.5226451,-8.694019,77.7494568206,6.225123876
Sector-28,5,17,2,40,302,35,23,4617317.337,424,11.8416522,58.0767446,91.8282130194,4.617317337
Sector-29,6,30,3,38,229,6,2,2044539.074,314,44.549842,44.0427429,153.5798478949,2.044539074
Sector-3,10,6,7,44,272,44,6,6307381.063,389,-8.5234076,39.7546452,61.6737749178,6.307381063
Sector-30,3,2,5,66,746,7,6,7051850.165,835,121.0394028,14.5001422,118.4086417695,7.051850165
Sector-31,1,1,9,9,850,60,15,4799281.523,945,72.7392711,41.0285386,196.9044731948,4.799281523
Sector-32,10,7,7,76,628,6,26,2332477.033,760,109.948275,19.318366,325.8338621335,2.332477033
Sector-33,1,10,4,49,818,9,15,2131422.138,906,100.771678,22.000143,425.0683071398,2.131422138
Sector-34,2,21,3,18,338,17,27,1582300.399,426,124.7907837,12.5350875,269.2282706048,1.582300399
Sector-35,0,30,6,40,727,48,13,3851556.958,864,-73.564543,45.5080397,224.3248663908,3.851556958
Sector-36,7,18,4,9,688,43,26,7059539.032,795,139.8670624,37.6453583,112.6135851642,7.059539032
Sector-37,9,28,5,52,456,57,14,7910773.881,621,48.9602971,57.5780197,78.5005372852,7.910773881
Sector-38,2,15,4,67,836,38,3,6355711.121,965,-65.0052144,-31.7436794,151.8319479329,6.355711121
Sector-39,0,3,6,29,691,14,17,4850365.142,760,59.8921899,56.8858071,156.6892342638,4.850365142
Sector-4,9,6,8,37,466,59,22,4070902.242,607,93.419886,28.564921,149.1069949402,4.070902242
Sector-40,5,16,9,19,713,40,26,4701485.113,828,123.0979,-10.7246,176.1145638238,4.701485113
Sector-41,6,12,5,29,481,46,11,4714346.789,590,-96.3438274,30.671701,125.1498938043,4.714346789
Sector-42,8,17,10,54,702,24,30,3926752.825,845,21.8525134,56.4177803,215.1905245016,3.926752825
Sector-43,8,10,9,40,780,23,7,4013538.554,877,-90.0034929,14.1386669,218.5104212157,4.013538554
Sector-44,1,7,10,67,219,16,8,5996324.095,328,-81.20763,46.60873,54.7001787768,5.996324095
Sector-45,6,24,4,71,867,44,13,3193604.433,1029,-45.2957103,-20.0859007,322.2064665765,3.193604433
Sector-46,6,15,3,39,437,12,7,2304768.205,519,-123.3599687,48.455754,225.1853348524,2.304768205
Sector-47,9,24,2,80,498,50,6,5512797.135,669,112.047639,24.034527,121.3540029893,5.512797135
Sector-48,0,18,10,27,794,29,17,3465143.725,895,5.7318798,58.9670963,258.2865448099,3.465143725
Sector-49,2,3,3,42,343,40,6,5395667.903,439,33.2898473,69.0474473,81.3615678155,5.395667903
Sector-5,9,23,7,21,799,4,13,1164259.671,876,-90.8072101,14.9941724,752.4094682826,1.164259671
Sector-50,10,7,10,52,898,51,29,5603919.695,1057,80.7657804,29.8812097,188.6179776886,5.603919695
Sector-51,3,22,8,60,494,7,23,5545065.05,617,-70.7423218,-33.7309374,111.2701103479,5.54506505
Sector-52,0,6,9,33,502,33,9,6537309.079,592,31.3998995,-0.4165288,90.5571379364,6.537309079
Sector-53,10,30,9,60,102,15,12,2880913.204,238,111.3754214,-7.6435908,82.6126936659,2.880913204
Sector-55,1,17,4,38,644,26,5,4186176.71,735,-38.5900375,-12.6654745,175.5778723445,4.18617671
Sector-56,3,22,10,5,141,27,10,5362255.082,218,108.6324073,-7.4720926,40.6545374411,5.362255082
Sector-57,4,24,8,42,877,45,12,4779094.618,1012,-84.762933,9.97788,211.7555898953,4.779094618
Sector-58,9,25,4,66,725,20,4,6441343.165,853,17.4114814,49.5671764,132.4257966312,6.441343165
Sector-59,0,4,1,9,879,24,2,4206699.625,919,26.3361413,49.1184617,218.4610459322,4.206699625
Sector-6,3,23,4,48,310,32,24,4987039.204,444,37.2089056,35.1541677,89.0307819605,4.987039204
Sector-60,3,16,7,58,418,6,1,3569378.443,509,-8.3143192,31.2393596,142.6018585948,3.569378443
Sector-61,1,24,5,73,698,5,25,2251648.968,831,-45.0373171,-3.2023658,369.0628565154,2.251648968
Sector-62,10,30,9,64,748,38,1,4256643.426,900,118.036796,28.2279,211.4342005963,4.256643426
Sector-62 A,2,9,3,24,446,40,5,1407744.715,529,108.3474974,-6.9278214,375.7783597859,1.407744715
Sector-63,6,22,9,36,347,5,3,5830940.048,428,-76.2272716,-12.3625094,73.4015435722,5.830940048
Sector-64,3,5,6,2,269,56,5,7194696.36,346,2.4396467,44.9263486,48.0909801731,7.19469636
Sector-65,3,3,1,64,120,24,16,2355946.579,231,33.0817144,-2.8429633,98.0497614246,2.355946579
Sector-66,8,16,4,64,102,36,18,7831553.139,248,-0.607106,47.854132,31.6667710221,7.831553139
Sector-67,1,10,3,30,574,37,18,2104588.511,673,39.6526462,-5.3629365,319.7774750183,2.104588511
Sector-68,6,2,8,5,734,3,17,3562564.596,775,120.6775054,23.9179637,217.5399151696,3.562564596
Sector-69,1,10,6,45,273,4,17,5404791.208,356,113.407143,23.131797,65.867484293,5.404791208
Sector-7,10,15,9,41,275,43,8,7965106.929,401,133.1274711,35.5205669,50.3445846458,7.965106929
Sector-70,6,1,10,43,532,32,18,6809961.139,642,-8.4835185,42.079279,94.2736657223,6.809961139
Sector-71,3,22,1,42,686,50,1,7866287.026,805,113.271114,26.715349,102.3354471225,7.866287026
Sector-72,5,2,3,8,897,19,12,1493983.954,946,23.200121,41.3910706,633.2062653465,1.493983954
Sector-73,2,17,8,67,752,38,1,5813837.821,885,128.841093,32.6963741,152.2230284449,5.813837821
Sector-74,2,1,8,54,845,51,29,7555281.639,990,87.5395855,42.5246357,131.0341622329,7.555281639
Sector-75,2,7,4,49,753,7,18,1843379.524,840,33.7098569,1.1706966,455.6847838785,1.843379524
Sector-76,2,17,6,40,150,48,14,1498721.345,277,126.7366293,35.9676772,184.8242176066,1.498721345
Sector-77,1,23,2,31,297,45,19,5080170.34,418,-69.534882,-14.68055,82.2807055718,5.08017034
Sector-78,5,20,8,67,377,7,2,3681803.645,486,-99.0073673,19.4102526,132.0005211739,3.681803645
Sector-79,8,20,7,60,829,53,23,2283545.871,1000,-73.8076421,40.6998888,437.9154422513,2.283545871
Sector-8,9,26,4,68,412,3,17,7730612.301,539,123.1899735,13.434798,69.7228083641,7.730612301
Sector-80,6,9,4,48,705,34,22,7011694.861,828,59.3627834,43.0138941,118.0884246126,7.011694861
Sector-81,8,3,4,47,280,25,21,3004394.632,388,124.1066725,13.7362437,129.1441529909,3.004394632
Sector-82,9,6,8,25,777,40,17,3352262.802,882,-8.0989597,37.1029277,263.1058637389,3.352262802
Sector-83,3,1,10,44,406,12,10,1385263.359,486,-9.2518104,38.7777943,350.8358153289,1.385263359
Sector-84,5,21,4,58,217,53,17,7642222.784,375,30.5597,53.8653,49.0694933397,7.642222784
Sector-85,1,20,2,56,625,50,29,4547342.982,783,116.4690641,39.9929963,172.1884632629,4.547342982
Sector-86,0,25,6,22,863,43,21,3742546.772,980,123.1989242,9.0965232,261.8537749032,3.742546772
Sector-87,10,26,9,9,630,12,18,7702685.118,714,32.014211,54.2732308,92.6949484578,7.702685118
Sector-88,8,24,8,69,626,34,10,4175977.978,779,46.7464755,39.7537438,186.543129323,4.175977978
Sector-89,4,2,8,46,800,56,5,6378604.701,921,123.2710674,10.108752,144.3889444749,6.378604701
Sector-9,5,16,1,10,888,21,1,6542466.083,942,-45.9662542,-23.2987827,143.9824048072,6.542466083
Sector-90,5,24,5,71,323,60,30,6725204.795,518,110.431156,-6.985714,77.0236767191,6.725204795
Sector-91,0,26,2,10,724,47,13,2430828.624,822,107.1781769,-6.8008183,338.1562944768,2.430828624
Sector-92,6,18,3,49,551,46,15,7595800.227,688,91.29244,51.40698,90.5763684456,7.595800227
Sector-93 A,10,18,4,17,660,54,22,6309648.949,785,-103.8451959,49.6666528,124.4126268109,6.309648949
Sector-93 B,8,17,2,68,323,2,19,3339011.411,439,124.9202302,11.1856085,131.476040649,3.339011411
Sector-94,7,22,3,51,415,33,6,6901830.408,537,107.980213,30.978349,77.8054469982,6.901830408
Sector-94 A,6,18,4,13,309,36,19,1600682.78,405,118.626991,28.73733,253.017028146,1.60068278
Sector-95,10,19,6,75,417,17,11,2852970.382,555,24.7535747,59.4369608,194.5340910307,2.852970382
Sector-96,3,25,1,3,289,42,24,7956109.29,387,79.8842521,7.1801552,48.641865753,7.95610929
Sector-97,4,22,7,51,447,12,25,6545634.09,568,43.1000425,40.6108358,86.7753974925,6.54563409
Sector-98,3,28,6,46,376,20,1,7214952.774,480,14.7029932,49.8529322,66.5285019924,7.214952774
Sector-99,6,13,8,46,475,42,16,6755251.316,606,-71.4893705,-35.5364676,89.7079874089,6.755251316
Sorkha,2,29,1,73,651,60,29,5289964.824,845,33.9169021,47.498123,159.7364118881,5.289964824
