region,location,latitude,longitude,area,murder_count,rape_count,gangrape_count,robbery_count,theft_count,assault_count,sexual_harassment_count,total_crime,crime_density,source_file,source_type,is_synthetic
Delhi,RANI BAGH,28.69784,77.11933,2.974723888,2,25,1,56,496,27,10,617,207.4142083,crime.csv,real,False
Delhi,BARA HINDU RAO,28.66539,77.20846,1.749323881,6,20,2,35,284,10,10,367,209.7953409,crime.csv,real,False
Delhi,CONNAUGHT PLACE,28.63,77.21432,5.266891996,1,11,0,55,800,36,6,909,172.5875527,crime.csv,real,False
Delhi,H. N. DIN,28.59238,77.24417,10.31630404,1,8,1,15,214,14,4,257,24.91202265,crime.csv,real,False
Delhi,DARYA GANJ,28.6419,77.24062,5.570696132,4,5,0,19,180,8,6,222,39.85139285,crime.csv,real,False
Delhi,MANGOLPURI,28.69664,77.09163,2.980192322,8,15,1,9,116,27,10,186,62.41207947,crime.csv,real,False
Delhi,VIVEKVIHAR,28.66676,77.30662,4.731868997,0,1,0,6,120,1,3,131,27.68462104,crime.csv,real,False
Delhi,LAHORI GATE,28.65557,77.21885,2.975208719,9,12,2,10,244,20,5,302,101.5054836,crime.csv,real,False
Delhi,SULTAN PURI,28.70265,77.07856,1.975070373,0,9,0,66,631,16,7,729,369.1007723,crime.csv,real,False
Delhi,GEETA COLONY,28.6554,77.27642,1.021961219,3,6,0,9,254,9,11,292,285.7251279,crime.csv,real,False
Delhi,CIVIL LINES,28.68851,77.2215,4.21554288,3,9,0,63,791,24,17,907,215.1561556,crime.csv,real,False
Delhi,ASHOK VIHAR,28.69245,77.17432,3.536288039,5,10,2,52,445,22,7,543,153.5508403,crime.csv,real,False
Delhi,TILAK NAGAR,28.63896,77.10143,1.622207446,7,29,3,44,466,27,8,584,360.003279,crime.csv,real,False
Delhi,PALAM VILLAGE,28.58809,77.08293,1.326803624,4,9,3,22,192,19,4,253,190.6838324,crime.csv,real,False
Delhi,MOTI NAGAR,28.66013,77.14659,3.148605142,2,24,0,44,814,41,24,949,301.4033063,crime.csv,real,False
Delhi,HARI NAGAR,28.60935,77.09946,2.386161479,5,17,0,11,469,21,5,528,221.2758879,crime.csv,real,False
Delhi,PAHARGANJ,28.64583,77.20931,1.728182346,7,16,0,19,283,29,14,368,212.9404925,crime.csv,real,False
Delhi,SADAR BAZAR,28.65399,77.21115,2.975208719,4,3,0,13,379,3,4,406,136.4610144,crime.csv,real,False
Delhi,SAROJINI NAGAR,28.57449,77.19913,1.891342634,1,5,0,25,347,6,0,384,203.0303727,crime.csv,real,False
Delhi,NAJAFGARH,28.60975,76.98269,8.461597124,2,4,0,54,895,9,9,973,114.9901119,crime.csv,real,False
Delhi,KAPASHERA,28.52958,77.0872,21.50057279,1,12,3,19,143,16,2,196,9.116036206,crime.csv,real,False
Delhi,KALYANPURI,28.61363,77.31708,0.878452779,5,8,0,33,245,9,3,303,344.9246303,crime.csv,real,False
Delhi,BADAR PUR,28.49385,77.30357,2.116989697,4,11,1,59,318,10,8,411,194.1435995,crime.csv,real,False
Delhi,SUBHASH PLACE,28.68901,77.14412,0.885072498,10,15,1,54,590,5,26,701,792.0255138,crime.csv,real,False
Delhi,SUBZIMANDI,28.66917,77.20774,2.975208719,7,14,2,61,644,9,17,754,253.4275982,crime.csv,real,False
Delhi,MAURICE NAGAR,28.69251,77.20652,6.149745104,2,31,0,31,469,38,10,581,94.47546039,crime.csv,real,False
Delhi,MANDIR MARG,28.63857,77.20325,9.889059631,5,24,4,50,817,68,15,983,99.40277809,crime.csv,real,False
Delhi,TUGLAK ROAD,28.59827,77.21117,6.857849293,3,15,0,67,595,17,8,705,102.8019091,crime.csv,real,False
Delhi,LAJPAT NAGAR,28.56843,77.24052,1.505936692,1,7,0,15,160,8,8,199,132.1436692,crime.csv,real,False
Delhi,KRISHNA NAGAR,28.66699,77.28072,1.904048824,7,13,2,14,133,25,4,198,103.9889301,crime.csv,real,False
Delhi,PRASHANT VIHAR,28.60415,77.23372,6.857849293,7,8,0,41,457,39,14,566,82.53316394,crime.csv,real,False
Delhi,ANANDVIHAR,28.65597,77.31306,4.558969692,10,14,0,99,457,24,15,619,135.776292,crime.csv,real,False
Delhi,SWARUP NAGAR,28.75841,77.1562,12.08811457,4,23,1,52,443,31,6,560,46.32649671,crime.csv,real,False
Delhi,GREATER KAILASH,28.5541,77.23278,3.793564843,0,2,0,12,164,6,4,188,49.55760816,crime.csv,real,False
Delhi,VIKAS PURI,28.62997,77.06834,1.247661874,2,3,1,14,204,7,1,232,185.9478156,crime.csv,real,False
Delhi,UTTAM NAGAR,28.62499,77.06488,2.747375479,2,10,1,81,1042,23,21,1180,429.5008123,crime.csv,real,False
Delhi,DEFENCE COLONY,28.56468,77.23337,2.480276534,3,14,1,25,158,16,10,227,91.52205283,crime.csv,real,False
Delhi,JAMIA NAGAR,28.56207,77.29235,7.880690981,9,23,4,20,261,23,5,345,43.7778871,crime.csv,real,False
Delhi,KASHMERE GATE,28.66254,77.2315,1.627909974,0,9,3,17,340,17,12,398,244.4852641,crime.csv,real,False
Delhi,PULPRAHLAD PUR,28.50165,77.29099,3.852127696,2,15,1,41,389,24,9,481,124.8660579,crime.csv,real,False
Delhi,SARITA VIHAR,28.54046,77.28196,6.171102991,1,12,0,12,211,8,1,245,39.70116855,crime.csv,real,False
Delhi,NANGLOI,28.68199,77.06698,2.253261514,3,13,5,58,838,23,15,955,423.8300765,crime.csv,real,False
Delhi,SAFDARJUNG ENCLAVE,28.55848,77.19855,3.486811523,2,7,0,1,83,3,10,106,30.40026664,crime.csv,real,False
Delhi,HAUZQAZI,28.64335,77.22548,3.095888323,1,6,0,12,431,37,4,491,158.5974521,crime.csv,real,False
Delhi,DWARKA SOUTH,28.57837,77.06666,30.06854798,4,8,2,28,299,17,4,362,12.039158,crime.csv,real,False
Delhi,PASCHIM VIHAR,28.67112,77.10115,3.794663797,2,13,0,48,526,13,30,632,166.5496692,crime.csv,real,False
Delhi,BINDAPUR,28.62046,77.06744,2.747375479,4,4,1,64,417,11,8,509,185.2677233,crime.csv,real,False
Delhi,TILAK MARG,28.61821,77.23537,3.748441999,8,19,1,36,294,16,7,381,101.642229,crime.csv,real,False
Delhi,RAJOURI GARDEN,28.65151,77.1196,1.798942912,1,7,0,37,567,20,4,636,353.5409577,crime.csv,real,False
Delhi,SANGAM VIHAR,28.50957,77.24299,3.10572333,3,6,0,17,179,8,2,215,69.22702931,crime.csv,real,False
Delhi,MAYURVIHAR,28.60733,77.30367,2.111658828,0,7,0,13,201,10,14,245,116.0225301,crime.csv,real,False
Delhi,SHAHBAD DAIRY,28.74766,77.07894,49.82264953,0,8,0,18,315,5,6,352,7.065059834,crime.csv,real,False
Delhi,GANDHI NAGAR,28.65955,77.26733,1.205110776,1,2,0,32,313,5,1,354,293.7489292,crime.csv,real,False
Delhi,DWARKA SEC-23,28.56411,77.05849,30.06854798,4,1,0,28,437,4,1,475,15.79723771,crime.csv,real,False
Delhi,RANJIT NAGAR,28.64751,77.15868,2.003783762,3,9,0,38,324,16,13,403,201.1195058,crime.csv,real,False
Delhi,RANHOLA,28.65375,77.03599,11.28382351,3,15,2,45,319,47,33,464,41.1208133,crime.csv,real,False
Delhi,SAKET,28.52882,77.22715,2.732945718,2,0,0,2,126,4,0,134,49.0313434,crime.csv,real,False
Delhi,SHAKARPUR,28.63775,77.2703,3.019451766,4,2,0,38,266,13,4,327,108.2978055,crime.csv,real,False
Delhi,PREETVIHAR,28.63852,77.29526,2.272578698,4,5,1,42,509,3,4,568,249.9363391,crime.csv,real,False
Delhi,KIRTI NAGAR,28.64053,77.13509,1.511976155,6,16,2,16,203,23,8,274,181.2197891,crime.csv,real,False
Delhi,HAUZ KHAS,28.54939,77.20847,2.436526458,4,10,1,17,367,15,3,417,171.1452788,crime.csv,real,False
Delhi,BAWANA,28.80659,77.0228,40.32792292,6,20,3,93,383,13,8,526,13.04307194,crime.csv,real,False
Delhi,KN KATJU MARG,28.73043,77.121,8.251478933,1,3,0,14,273,8,4,303,36.72069001,crime.csv,real,False
Delhi,I.P. ESTATE,28.6274,77.24722,9.253420865,5,22,2,18,576,27,4,654,70.67656487,crime.csv,real,False
Delhi,KOTALA MUBARAK PUR,28.5759,77.22514,1.628367164,7,2,5,28,467,48,14,571,350.6580165,crime.csv,real,False
Delhi,DELHI CANTT,28.59872,77.12437,42.83635341,1,7,0,27,246,9,3,293,6.839984655,crime.csv,real,False
Delhi,D.B.G ROAD,28.65258,77.19326,1.643641889,4,11,1,57,397,18,12,500,304.2025173,crime.csv,real,False
Delhi,KHYALA,28.65761,77.11332,2.093069914,5,18,6,30,663,60,11,793,378.869332,crime.csv,real,False
Delhi,JAGATPURI,28.64359,77.2839,1.021961219,9,30,0,23,645,27,6,740,724.0979268,crime.csv,real,False
Delhi,PATEL NAGAR,28.65237,77.15822,4.104570166,2,6,2,47,437,10,13,517,125.9571597,crime.csv,real,False
Delhi,VASANT VIHAR,28.55797,77.16933,14.1053716,2,5,1,5,41,5,3,62,4.395488595,crime.csv,real,False
Delhi,KAROL BAGH,28.65256,77.1932,1.643641889,4,24,0,36,129,9,8,210,127.7650573,crime.csv,real,False
Delhi,SUNLIGHT COLONY,28.57835,77.26018,2.112193774,6,27,0,82,1273,40,5,1433,678.4415415,crime.csv,real,False
Delhi,NARELA,28.85321,77.08849,20.33327697,6,17,0,17,316,38,6,400,19.67218568,crime.csv,real,False
Delhi,NEW ASHOK NAGAR,28.59818,77.31178,3.300804937,2,18,2,126,945,52,34,1179,357.1856024,crime.csv,real,False
Delhi,PARLIAMENT STREET,28.62473,77.21366,5.266891996,7,5,0,29,368,18,12,439,83.35086429,crime.csv,real,False
Delhi,NIHAL VIHAR,28.665,77.0717,3.660010619,1,6,3,39,437,14,9,509,139.0706348,crime.csv,real,False
Delhi,MADHUVIHAR,28.62543,77.30612,4.995712622,4,23,1,9,623,40,7,707,141.5213511,crime.csv,real,False
Delhi,BHARAT NAGAR,28.68062,77.17851,1.939521818,3,5,0,44,256,15,18,341,175.8165321,crime.csv,real,False
Delhi,MANDAWALI,28.62543,77.30612,4.995712622,2,9,1,15,522,21,23,593,118.7017839,crime.csv,real,False
Delhi,BABA HARI DAS NAGAR,28.62867,76.96681,28.98213358,2,9,1,67,409,17,7,512,17.66605618,crime.csv,real,False
Delhi,CHHAWLA,28.58691,76.99466,26.30944559,2,6,0,62,480,15,10,575,21.8552686,crime.csv,real,False
Delhi,MEHRAULI,28.52149,77.18019,38.91186678,0,5,1,21,541,23,21,612,15.7278499,crime.csv,real,False
Delhi,MAURYA ENCLAVE,28.70045,77.14605,5.879256003,4,14,1,28,359,45,21,472,80.28226697,crime.csv,real,False
Delhi,JANAK PURI,28.62863,77.08188,2.051115234,8,16,5,31,403,25,3,491,239.3819674,crime.csv,real,False
Delhi,SARAI ROHILLA,28.66837,77.18368,1.948430286,0,14,1,15,320,11,2,363,186.3038173,crime.csv,real,False
Delhi,GULABIBAGH,28.67005,77.19262,2.218660178,1,0,1,22,295,2,2,323,145.5833585,crime.csv,real,False
Delhi,ROOP NAGAR,28.68499,77.20265,1.076492634,10,16,1,31,436,25,13,532,494.1975293,crime.csv,real,False
Delhi,VASANT KUNJ NORTH,28.53486,77.15232,14.1053716,2,8,0,35,648,14,2,709,50.26453893,crime.csv,real,False
Delhi,ROHINI NORTH,28.70894,77.11815,2.076678927,2,18,1,18,425,23,9,496,238.8428916,crime.csv,real,False
Delhi,GHAZIPUR,28.62486,77.33267,2.88681013,0,2,0,1,107,1,1,112,38.79714804,crime.csv,real,False
Delhi,SEEMAPURI,28.67811,77.31653,4.731868997,1,2,0,16,263,14,11,307,64.8792264,crime.csv,real,False
Delhi,SEELAMPUR,28.6743,77.26855,1.57623738,4,16,1,46,411,12,12,502,318.4799488,crime.csv,real,False
Delhi,MANSAROVAR PARK,28.68277,77.29856,2.231365619,7,29,0,17,336,30,20,439,196.7405055,crime.csv,real,False
Delhi,SHAHDARA,28.6742,77.28518,2.231365619,1,11,0,8,142,47,15,224,100.386955,crime.csv,real,False
Delhi,KHAJURIKHAS,28.71113,77.2561,4.453887398,2,7,0,20,175,24,6,234,52.53837358,crime.csv,real,False
Delhi,JYOTI NAGAR,28.69612,77.2917,1.275858528,8,13,2,11,160,11,18,223,174.7842688,crime.csv,real,False
Delhi,HARSH VIHAR,28.70603,77.31849,2.572204895,2,9,0,23,471,17,7,529,205.6601327,crime.csv,real,False
Delhi,MUNDKA,28.67042,76.96085,48.58235864,1,5,0,11,239,11,3,270,5.557572904,crime.csv,real,False
Delhi,BHAJANPURI,28.70128,77.2644,10.15799164,3,19,4,25,193,19,28,291,28.64739511,crime.csv,real,False
Delhi,ZAFRABAD,28.67909,77.27297,1.57623738,1,2,0,3,66,4,3,79,50.11935449,crime.csv,real,False
Delhi,WELCOME,28.67341,77.27479,1.805524407,0,2,0,15,337,5,5,364,201.6034779,crime.csv,real,False
Delhi,NANDNAGARI,28.69853,77.30817,2.02815697,9,26,2,30,580,34,11,692,341.1964707,crime.csv,real,False
Delhi,G.T.B. ENCLAVE,28.68496,77.316,2.874304374,1,1,0,13,86,6,7,114,39.66177035,crime.csv,real,False
Delhi,NEW USMANPUR,28.67202,77.26207,3.093393387,0,8,1,10,580,9,5,613,198.1642563,crime.csv,real,False
Delhi,SONIA VIHAR,28.71128,77.25611,4.453887398,6,25,1,25,300,42,8,407,91.38084635,crime.csv,real,False
Delhi,KARAWAL NAGAR,28.73284,77.2745,2.937546578,7,15,2,26,334,19,7,410,139.572255,crime.csv,real,False
Delhi,GOKULPURI,28.70225,77.28085,1.566343791,2,6,2,22,306,19,8,365,233.0267481,crime.csv,real,False
Noida,Chhajarsi Colony,59.2766517,15.2072783,7.282757885,1,6,3,12,688,5,12,727,99.8248206902,noida.csv,dummy,True
Noida,Dadri Road,-6.2434505,106.3684552,4.16717023,7,9,2,1,867,38,21,945,226.7725933529,noida.csv,dummy,True
Noida,Garhi Samastpur,36.284107,100.620031,4.605135636,4,1,10,45,799,17,2,878,190.656707945,noida.csv,dummy,True
Noida,Greater Noida Exp.,36.2308144,38.0181686,7.25413982,4,9,8,5,279,23,10,338,46.5940839833,noida.csv,dummy,True
Noida,Grtr. Noida Link Rd.,61.5549021,-6.8050501,2.32384537,10,2,10,55,767,57,8,909,391.1619988726,noida.csv,dummy,True
Noida,Hosiery Complex,-8.0060188,111.4207572,5.195202304,1,9,4,47,570,17,19,667,128.3876855934,noida.csv,dummy,True
Noida,Noida Extension,26.89023,100.233878,5.760781986,7,11,2,61,402,20,16,519,90.0919356541,noida.csv,dummy,True
Noida,Sector-1,23.701262,117.430061,7.808254236,2,20,2,50,253,32,18,377,48.2822393592,noida.csv,dummy,True
Noida,Sector-10,-7.7701645,110.6511592,1.061391876,3,18,5,16,137,12,25,216,203.5063626208,noida.csv,dummy,True
Noida,Sector-100,39.3822864,48.3501725,7.968081027,0,15,7,63,832,37,21,975,122.3632135135,noida.csv,dummy,True
Noida,Sector-100,55.9118986,12.8316075,4.358136695,8,19,3,44,156,48,23,301,69.0662136287,noida.csv,dummy,True
Noida,Sector-101,17.5656036,44.2289441,1.495010012,8,22,3,55,733,52,27,900,602.0026573575,noida.csv,dummy,True
Noida,Sector-102,-32.2002692,26.8115141,7.568295136,4,1,10,75,411,56,4,561,74.1250162578,noida.csv,dummy,True
Noida,Sector-104,-46.805871,-67.9440112,7.046154052,10,8,8,67,283,1,21,398,56.4847145071,noida.csv,dummy,True
Noida,Sector-104,-6.8229172,111.3545546,3.622891937,4,19,3,69,871,20,23,1009,278.5067889261,noida.csv,dummy,True
Noida,Sector-105,50.009103,22.8837844,6.82660721,1,2,9,50,508,33,27,630,92.285960012,noida.csv,dummy,True
Noida,Sector-105,-11.7602273,27.2499749,5.370625346,8,6,7,9,333,10,3,376,70.0104691309,noida.csv,dummy,True
Noida,Sector-106,-21.4649238,-47.0145295,7.606323109,3,13,5,44,514,59,7,645,84.7978702399,noida.csv,dummy,True
Noida,Sector-107,29.654838,91.140552,2.922324019,5,13,6,20,858,9,20,931,318.5820579604,noida.csv,dummy,True
Noida,Sector-107,3.3217785,101.4679893,5.845187137,0,25,4,6,877,44,28,984,168.3436264634,noida.csv,dummy,True
Noida,Sector-108,55.9905778,92.7620647,3.308400664,10,17,8,78,285,8,30,436,131.7857310163,noida.csv,dummy,True
Noida,Sector-11,39.042852,117.318781,2.018420037,3,18,9,76,787,46,25,964,477.6012833448,noida.csv,dummy,True
Noida,Sector-110,14.11684,-86.355797,4.276738978,9,23,4,11,757,2,3,809,189.1628187181,noida.csv,dummy,True
Noida,Sector-110,21.9441032,-79.1604971,6.493185889,3,1,4,40,383,50,8,489,75.3097182738,noida.csv,dummy,True
Noida,Sector-112,50.6657079,18.0732903,4.039649146,7,8,10,13,765,53,11,867,214.6225993063,noida.csv,dummy,True
Noida,Sector-113,-40.9026164,174.9939663,3.455045768,1,15,6,55,729,49,29,884,255.8576815935,noida.csv,dummy,True
Noida,Sector-115,10.527138,122.813931,3.471440909,9,6,7,3,214,24,26,289,83.2507329307,noida.csv,dummy,True
Noida,Sector-116,55.024145,30.8005553,3.679723878,2,10,5,7,741,60,21,846,229.9085551114,noida.csv,dummy,True
Noida,Sector-117,-6.3384977,106.1610343,2.53998115,8,19,2,50,144,50,18,291,114.5677793711,noida.csv,dummy,True
Noida,Sector-118,37.18447,128.46821,1.522832705,2,25,2,35,731,10,30,835,548.3202437526,noida.csv,dummy,True
Noida,Sector-118,59.3138173,14.4937714,1.964212104,9,7,4,19,494,9,14,556,283.0651531307,noida.csv,dummy,True
Noida,Sector-119,41.28102,112.45297,2.06084857,4,30,1,74,292,1,14,416,201.8585965295,noida.csv,dummy,True
Noida,Sector-12,29.72277,106.53519,3.480564561,0,14,9,70,307,38,22,460,132.1624673061,noida.csv,dummy,True
Noida,Sector-120,13.5468199,-15.9839424,5.493785476,2,7,6,38,801,25,3,882,160.5450383625,noida.csv,dummy,True
Noida,Sector-121,32.519246,108.533377,7.820768409,3,16,8,43,461,31,24,586,74.9286987357,noida.csv,dummy,True
Noida,Sector-121,22.8311155,113.2516686,5.692502941,10,27,3,75,593,33,6,747,131.2252286459,noida.csv,dummy,True
Noida,Sector-122,48.1665542,27.6546469,6.608387986,4,10,3,77,662,41,21,818,123.7820784332,noida.csv,dummy,True
Noida,Sector-123,33.6435199,42.8253662,6.632393479,10,29,4,31,481,36,17,608,91.6712800477,noida.csv,dummy,True
Noida,Sector-124,-24.2298687,-65.1737343,7.805158224,8,9,7,24,539,46,27,660,84.5594645309,noida.csv,dummy,True
Noida,Sector-125,38.80549,-9.3277081,3.792709153,4,17,7,60,319,9,10,426,112.3207667171,noida.csv,dummy,True
Noida,Sector-126,-7.3677628,110.1209019,5.208864179,10,9,7,42,892,37,17,1014,194.6681589603,noida.csv,dummy,True
Noida,Sector-127,-9.710143,-35.897056,5.116196786,3,9,7,11,143,14,26,213,41.6324877461,noida.csv,dummy,True
Noida,Sector-128,53.8031587,64.1828536,7.66239143,4,30,10,48,133,48,14,287,37.4556693719,noida.csv,dummy,True
Noida,Sector-128,52.7843212,6.8915145,6.372060303,0,9,10,47,105,32,8,211,33.1133087207,noida.csv,dummy,True
Noida,Sector-129,-8.5083726,115.5672264,7.396324957,4,14,9,58,695,18,5,803,108.5674310781,noida.csv,dummy,True
Noida,Sector-129,39.2363803,-9.264704,6.395505981,9,19,6,8,884,20,23,969,151.5126407322,noida.csv,dummy,True
Noida,Sector-130,25.7564471,-80.2056382,3.35877989,5,12,1,20,868,30,11,947,281.9476211643,noida.csv,dummy,True
Noida,Sector-131,30.352134,114.720925,5.518745413,1,26,7,18,603,10,13,678,122.8540092469,noida.csv,dummy,True
Noida,Sector-132,1.05,118.8,7.423431341,2,2,7,70,372,48,19,520,70.048468978,noida.csv,dummy,True
Noida,Sector-133,62.6243044,26.8277488,3.193039943,7,14,4,44,137,25,27,258,80.8007430554,noida.csv,dummy,True
Noida,Sector-133,51.2701042,16.7076821,2.224722988,7,21,7,65,237,10,12,359,161.3684049369,noida.csv,dummy,True
Noida,Sector-134,0.6812449,34.4212109,4.503399873,2,21,1,72,755,23,9,883,196.0740828932,noida.csv,dummy,True
Noida,Sector-134,52.2254703,6.893632,3.873064856,8,17,10,55,791,20,12,913,235.7306252142,noida.csv,dummy,True
